season,playerId,player,team,position,conference,bio_firstName,bio_lastName,bio_height,bio_weight,bio_jersey,bio_position,bio_homeCity,bio_homeState,bio_homeCountry,bio_homeLatitude,bio_homeLongitude,bio_homeCountyFIPS,bio_recruitIds,bio_recruitIds_count,stat_receiving_LONG,stat_receiving_REC,stat_receiving_TD,stat_receiving_YDS,stat_receiving_YPR,stat_interceptions_AVG,stat_interceptions_INT,stat_interceptions_TD,stat_interceptions_YDS,stat_kickReturns_AVG,stat_kickReturns_LONG,stat_kickReturns_NO,stat_kickReturns_TD,stat_kickReturns_YDS,stat_passing_ATT,stat_passing_COMPLETIONS,stat_passing_INT,stat_passing_PCT,stat_passing_TD,stat_passing_YDS,stat_passing_YPA,stat_puntReturns_AVG,stat_puntReturns_LONG,stat_puntReturns_NO,stat_puntReturns_TD,stat_puntReturns_YDS,stat_rushing_CAR,stat_rushing_LONG,stat_rushing_TD,stat_rushing_YDS,stat_rushing_YPC,stat_punting_In_20,stat_punting_LONG,stat_punting_NO,stat_punting_TB,stat_punting_YDS,stat_punting_YPP,stat_kicking_FGA,stat_kicking_FGM,stat_kicking_LONG,stat_kicking_PCT,stat_kicking_PTS,stat_kicking_XPA,stat_kicking_XPM,stat_defensive_PD,stat_defensive_QB_HUR,stat_defensive_SACKS,stat_defensive_SOLO,stat_defensive_TD,stat_defensive_TFL,stat_defensive_TOT,stat_fumbles_FUM,stat_fumbles_LOST,stat_fumbles_REC
2011,514603,A.J. Fox,Akron,PK,Mid-American,A.J.,Fox,70.0,,17.0,PK,Youngstown,OH,USA,41.1035786,-80.6520161,39099,154207,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,48.0,6.0,0.0,238.0,39.7,8.0,8.0,43.0,1.0,32.0,8.0,8.0,,,,,,,,,,
2011,514618,A.J. Price,Akron,WR,Mid-American,A.J.,Price,76.0,,3.0,WR,Reston,VA,USA,38.9583737,-77.3579805,51059,187816,1.0,44.0,12.0,1.0,196.0,16.3,,,,,,,,,,,,,,,,,1.7,12.0,21.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000572,Adam Bice,Akron,OL,MAC,Adam,Bice,76.0,287.0,65.0,OL,Dresden,OH,USA,40.1214579,-82.0106918,39119,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000586,Adam Steiner,Akron,LS,MAC,Adam,Steiner,74.0,215.0,43.0,LS,Canton,OH,USA,40.7989522,-81.3784445,39151,159135,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000498,Andrew Bohan,Akron,OL,MAC,Andrew,Bohan,75.0,290.0,77.0,OL,Avon Lake,OH,USA,41.510033,-82.0185895,39093,154463,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,508126,Anthony Holmes,Akron,S,MAC,Anthony,Holmes,72.0,,7.0,S,Harrisburg,PA,USA,40.2663107,-76.8861122,42043,156335,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,482028,Anthony Meriwether,Akron,WR,Mid-American,Anthony,Meriwether,73.0,,81.0,WR,Cleveland,OH,USA,41.5051613,-81.6934446,39035,159154,1.0,6.0,1.0,0.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514620,Anthony Ritossa,Akron,TE,Mid-American,Anthony,Ritossa,76.0,,87.0,TE,Kirtland,OH,USA,41.628937,-81.361499,39085,156426,1.0,13.0,5.0,0.0,42.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,507395,Antoine Russell,Akron,WR,Mid-American,Antoine,Russell,71.0,,39.0,WR,Toledo,OH,USA,41.6786754,-83.5127283,39095,,0.0,45.0,22.0,0.0,276.0,12.5,,,,,19.7,42.0,16.0,0.0,315.0,,,,,,,,,,,,,2.0,10.0,0.0,11.0,5.5,,,,,,,,,,,,,,,,,,,,,,,
2011,507068,Austin Bailey,Akron,DL,Mid-American,Austin,Bailey,71.0,,40.0,DL,West Friendship,MD,USA,39.3034518,-76.9537905,24027,156572,1.0,5.0,1.0,0.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
